dataset,instrument,original_file,split_file,subset,split_x_variable,split_y_variable,original_index_1based,split_row_1based
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,162,45
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,195,46
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,102,47
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,227,48
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,64,49
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,75,50
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,179,51
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,191,52
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,210,53
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,33,54
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,120,55
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,135,56
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,157,57
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,54,58
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,176,59
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,89,60
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,154,61
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,169,62
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,129,63
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,220,64
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,74,65
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,3,66
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,56,67
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,185,68
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,81,69
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,200,70
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,133,71
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,71,72
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,110,73
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,149,74
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,108,75
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,228,76
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,170,77
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,187,78
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,123,79
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,234,80
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,150,81
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,196,82
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,172,83
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,103,84
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,63,85
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,205,86
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,4,87
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,242,88
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,45,89
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,166,90
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,173,91
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,233,92
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,168,93
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,43,94
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,186,95
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,203,96
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,101,97
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,10,98
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,182,99
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,15,100
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,97,101
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,194,102
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,161,103
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,209,104
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,124,105
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,112,106
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,143,107
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,180,108
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,214,109
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,24,110
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,6,111
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,193,112
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,84,113
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,192,114
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,44,115
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,29,116
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,208,117
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,31,118
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,113,119
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,73,120
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,235,121
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,146,122
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,204,123
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,16,124
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,184,125
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,232,126
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,244,127
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,201,128
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,79,129
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,82,130
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,221,131
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,7,132
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,18,133
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,87,134
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,225,135
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,189,136
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,94,137
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,48,138
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,47,139
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,96,140
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,247,141
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,107,142
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,13,143
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,206,144
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,128,145
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,36,146
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,26,147
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,60,148
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,178,149
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,248,150
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,80,151
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,145,152
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,153,153
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,99,154
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,39,155
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,90,156
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,158,157
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,5,158
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,38,159
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,52,160
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,50,161
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,175,162
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,85,163
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,211,164
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,218,165
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,12,166
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,199,167
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,100,168
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,37,169
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,55,170
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,67,171
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,137,172
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,142,173
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,243,174
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,121,175
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,70,176
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,216,177
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,61,178
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,246,179
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,215,180
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,2,181
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,134,182
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,136,183
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,125,184
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,66,185
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,22,186
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,49,187
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,116,188
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,76,189
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,138,190
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,114,191
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,58,192
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,59,193
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,147,194
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,1,195
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,65,196
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,126,197
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,156,198
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,105,199
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,calibration,X,y,131,200
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,9,1
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,11,2
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,19,3
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,25,4
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,27,5
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,28,6
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,30,7
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,32,8
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,34,9
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,41,10
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,42,11
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,51,12
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,57,13
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,68,14
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,83,15
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,86,16
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,88,17
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,91,18
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,92,19
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,93,20
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,95,21
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,104,22
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,106,23
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,109,24
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,111,25
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,115,26
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,117,27
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,118,28
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,119,29
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,122,30
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,132,31
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,139,32
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,151,33
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,152,34
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,163,35
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,171,36
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,202,37
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,212,38
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,217,39
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,222,40
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,224,41
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,229,42
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,230,43
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,231,44
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,236,45
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,238,46
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,239,47
wheat,A1_20048,wheatA1.mat,wheatA1_20048.mat,test,Xtest,ytest,245,48
