dataset,instrument,original_file,split_file,subset,split_x_variable,split_y_variable,original_index_1based,split_row_1based
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,12,10
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,13,11
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,15,12
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,16,13
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,18,14
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,22,15
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,24,16
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,25,17
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,27,18
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,28,19
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,29,20
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,30,21
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,31,22
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,32,23
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,33,24
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,34,25
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,35,26
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,36,27
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,37,28
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,38,29
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,39,30
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,40,31
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,41,32
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,42,33
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,43,34
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,44,35
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,45,36
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,46,37
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,47,38
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,48,39
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,49,40
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,51,41
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,52,42
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,53,43
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,54,44
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,55,45
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,56,46
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,57,47
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,58,48
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,59,49
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,60,50
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,61,51
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,62,52
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,65,53
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,66,54
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,67,55
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,68,56
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,70,57
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,71,58
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,72,59
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,73,60
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,74,61
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,76,62
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,77,63
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,79,64
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,80,65
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,81,66
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,82,67
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,83,68
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,84,69
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,85,70
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,86,71
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,87,72
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,88,73
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,90,74
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,91,75
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,92,76
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,94,77
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,95,78
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,96,79
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,97,80
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,99,81
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,100,82
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,101,83
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,102,84
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,103,85
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,104,86
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,105,87
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,107,88
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,108,89
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,109,90
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,110,91
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,111,92
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,113,93
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,114,94
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,115,95
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,116,96
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,117,97
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,118,98
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,119,99
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,120,100
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,121,101
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,122,102
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,124,103
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,125,104
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,126,105
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,128,106
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,129,107
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,130,108
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,131,109
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,132,110
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,135,111
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,136,112
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,138,113
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,139,114
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,140,115
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,142,116
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,143,117
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,144,118
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,145,119
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,146,120
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,147,121
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,148,122
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,149,123
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,150,124
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,151,125
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,152,126
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,153,127
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,154,128
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,155,129
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,156,130
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,158,131
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,159,132
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,161,133
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,162,134
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,164,135
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,169,136
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,170,137
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,172,138
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,174,139
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,175,140
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,176,141
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,178,142
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,180,143
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,181,144
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,182,145
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,185,146
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,186,147
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,187,148
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,188,149
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,189,150
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,190,151
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,193,152
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,195,153
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,196,154
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,197,155
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,198,156
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,199,157
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,200,158
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,202,159
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,203,160
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,204,161
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,205,162
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,206,163
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,207,164
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,208,165
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,209,166
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,210,167
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,211,168
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,212,169
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,213,170
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,214,171
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,215,172
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,216,173
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,217,174
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,218,175
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,219,176
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,220,177
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,221,178
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,222,179
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,223,180
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,224,181
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,226,182
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,227,183
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,228,184
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,229,185
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,230,186
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,231,187
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,232,188
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,233,189
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,236,190
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,237,191
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,238,192
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,239,193
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,240,194
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,241,195
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,242,196
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,243,197
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,244,198
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,247,199
wheat,A3_48200,wheatA3.mat,wheatA3_48200.mat,test,Xtest,ytest,248,200
